Прізвище,Ім'я,По батьковій,Стать,Дата народження,Посада,Місце проживання,Адрес проживання,Телефон,Email
Ісаєнко,Ольга,Святославівна,female,1984.4.6,Клоун,парк Суперфосфатн,"парк Суперфосфатна, буд. 379 кв. 14, Гнівань, 97330",380643072814,gandriichuk@example.com
Кальченко,Микита,Геннадійович,male,1981.4.8,Художник,вулиця Виїзн,"вулиця Виїзна, буд. 8, Миколаїв, 61804",380905804442,barabashdan@example.net
Годунок,Марина,Трохимівна,female,1952.9.5,Гірничий інженер,узвіз Юрія Яновськог,"узвіз Юрія Яновського, буд. 15 кв. 7, Гірник , 20062",380552475600,tbabko@example.org
Гавришкевич,Демид,Остапович,male,1938.10.16,Медик,парк Шефськ,"парк Шефська, буд. 9 кв. 06, Берегове, 71791",380789121342,zynoviishvedchenko@example.com
Бандура,Степан,Макарович,male,1972.7.23,Реставратор,шосе Восьмого Березня Лінія 4-т,"шосе Восьмого Березня Лінія 4-та, буд. 6 кв. 61, Миронівка, 93553",380698757234,opanasskyba@example.com
Гайдай,Альбіна,Іллівна,female,1972.8.8,Мірошник,площа Єврейськ,"площа Єврейська, буд. 764 кв. 0, Верхівцеве, 41699",380556661833,dzhunmariia@example.net
Козаченко,Гаврило,Давидович,male,1967.8.18,Астроном,провулок Кишинівськ,"провулок Кишинівська, буд. 88, Ізяслав, 03946",380711865878,prymachenkooleh@example.com
Михайлюк,Оксенія,Андріївна,female,1940.7.17,Соціолог,парк Олександра Невського 1-,"парк Олександра Невського 1-й, буд. 22 кв. 617, Чистякове, 32633",380653183723,trokhym69@example.com
Лазаренко,Франц,Леонідович,male,1944.1.26,Парфюмер,вулиця 19-й км Старокиївської дорог,"вулиця 19-й км Старокиївської дороги, буд. 81, Немирів, 66581",380806228919,spasshutko@example.org
Вишняк,Климент,Зорянович,male,1975.11.17,Астроном,площа Китобійний 1-,"площа Китобійний 1-й, буд. 286, Миколаїв, 98858",380969661955,atamanchukoleksa@example.com
Наливайко,Аніта,Яремівна,female,1976.4.6,Єгер,набережна Леонтович,"набережна Леонтовича, буд. 5 кв. 8, Курахове, 98649",380517497673,umanetsandrii@example.com
Комар,Леонід,Хомович,male,1968.8.19,Модельєр,провулок Лазурний 1-,"провулок Лазурний 1-й, буд. 833, Хмельницький, 13732",380712405547,doliinyk@example.org
Петренко,Михайлина,Єлисеївна,female,1983.9.5,Клавішник,проспект Каштанов,"проспект Каштанова, буд. 47 кв. 5, Новодружеськ, 53833",380541281855,aaronarkhypenko@example.com
Гоголь,Левко,Орестович,male,1987.3.8,Мінералог,площа Водопровідний 2-,"площа Водопровідний 2-й, буд. 77, Чугуїв, 66346",380748966273,ivantkach@example.org
Баранець,Алевтин,Святославович,male,1973.6.7,Педагог,проспект Соляний 1-,"проспект Соляний 1-й, буд. 8 кв. 55, Ясинувата, 81025",380849042580,babychenkomyron@example.net
Ісаєвич,Юстина,Мартинівна,female,1985.1.4,Складальник,парк Манежн,"парк Манежна, буд. 07 кв. 1, Охтирка, 24132",380622363285,demian57@example.org
Дзиндра,Ярема,Леопольдович,male,2002.1.8,Дизайнер,узвіз Друг,"узвіз Друга, буд. 6 кв. 2, Золоте, 18939",380527690637,havrylo89@example.com
Комар,Валентина,Климентівна,female,1958.4.2,Різноробочий,площа Сьом,"площа Сьома, буд. 676 кв. 4, Вовчанськ, 08536",380591502635,trokhymzharko@example.org
Масоха,Леопольд,Русланович,male,2002.8.29,Пекар,набережна Штильов,"набережна Штильова, буд. 044 кв. 79, Почаїв, 41544",380891577163,xtokar@example.net
Комар,Йосип,Леонтійович,male,1940.9.28,Кур'єр,парк Кладовищенськ,"парк Кладовищенська, буд. 73, Яготин, 62118",380905063642,vkhomyk@example.net
Баштан,Тетяна,Спасівна,female,1985.2.22,Патологоанатом,парк Орловськ,"парк Орловська, буд. 244, Буськ, 65258",380688579269,maryna55@example.net
Цимбалюк,Йосип,Орхипович,male,2004.12.19,Кінолог,узвіз Офіцерський 1-,"узвіз Офіцерський 1-й, буд. 213 кв. 320, Олевськ, 74210",380795121762,marusia11@example.org
Чабан,Алла,Єлисеївна,female,1975.12.8,Піаніст,вулиця Асташкін,"вулиця Асташкіна, буд. 09 кв. 2, Каховка, 46647",380813457852,vsych@example.org
Гайденко,Орест,Захарович,male,1952.9.8,Редактор,площа Басейн,"площа Басейна, буд. 034, Армянськ, 34437",380572617082,hennadii12@example.com
Дейнеко,Демид,Олегович,male,1958.5.6,Архітектор,шосе Пастер,"шосе Пастера, буд. 3 кв. 08, Шепетівка, 94173",380753475093,demianenkonadiia@example.com
Юрчук,Єва,Макарівна,female,2005.11.14,Ходить в університет,шосе Пугачов,"шосе Пугачова, буд. 0 кв. 425, Костянтинівка, 85547",380639609654,nalyvaikoklyment@example.org
Артим,Левко,Григорійович,male,1962.10.16,Слідчий,сквер Рівни,"сквер Рівний, буд. 82 кв. 084, Вараш, 25959",380817092901,nverhun@example.org
Іванченко,Віолетта,Богданівна,female,1961.7.27,Ді-джей,шосе Шефськ,"шосе Шефська, буд. 00, Болград, 36487",380684965602,illiapylypenko@example.com
Акименко,Захар,Омелянович,male,1975.12.19,Випробувач,узвіз Омськ,"узвіз Омська, буд. 64 кв. 08, Бершадь, 33359",380754314189,antonhavrylyshyn@example.net
Онуфрієнко,Устим,Адамович,male,1974.12.10,Математик,шосе Олександра Стурдз,"шосе Олександра Стурдзи, буд. 568, Хрестівка, 89319",380598917847,hmatviienko@example.org
Дараган,Маруся,Симонівна,female,1946.2.26,Різноробочий,площа Скляний 1-,"площа Скляний 1-й, буд. 1, Горлівка, 40236",380869064472,zorian78@example.org
Сірченко,Амвросій,Пантелеймонович,male,1973.4.16,Зоолог,узвіз Ювілейний 1-,"узвіз Ювілейний 1-й, буд. 48, Гайворон, 81122",380958040423,mkhrystenko@example.com
Уманець,Людмила,Григоріївна,female,1948.7.10,Кінорежисер,шосе Олександра Матросов,"шосе Олександра Матросова, буд. 1 кв. 83, Чигирин, 13962",380860568373,dnikoliuk@example.com
Дробʼязко,Богодар,Ааронович,male,1978.9.2,Письменник,сквер Шовкуненк,"сквер Шовкуненка, буд. 465 кв. 453, Буча, 69445",380675590610,xshelest@example.com
Андрусенко,Пармен,Мартинович,male,1945.11.27,Бібліотекар,шосе Палія Семен,"шосе Палія Семена, буд. 48, Новомосковськ, 07411",380693210495,edyta19@example.org
Михайлюк,Віра,Венедиктівна,female,1958.7.3,Євнух,набережна Пресича Олександр,"набережна Пресича Олександра, буд. 01, Снятин, 98418",380721116452,rtsymbal@example.net
